g_id,item_category,item_name,item_wcost,item_restock_date,next_restock _date,item_quantity,s_id
G5850,Beer,Orange,367,28-09-2020,07-11-2020,93,SID114
G7440,Beer,Green,950,01-10-2020,27-11-2020,22,SID696
G3765,Beer,Aji Mirin,75,17-10-2020,27-12-2020,39,SID313
G4766,Beer,Sleeman,1856,05-09-2020,09-12-2020,74,SID597
G1538,Beer,Mini,1531,24-09-2020,01-12-2020,95,SID873
G6256,Beer,Redbull 355ml,1396,08-10-2020,07-12-2020,21,SID050
G0787,Beets,Triangle White,152,05-09-2020,,26,SID884
G3285,Blackberries,Brie,1780,,19-12-2020,79,SID209
G6696,Bread,Primerba,1815,20-10-2020,07-12-2020,25,SID616
G8376,Bread,danish,75,06-10-2020,14-12-2020,12,SID340
G0226,Bread," Shoulder, Boneless",1081,01-09-2020,,12,SID251
G1183,Bread,Chantrelle,1366,28-09-2020,03-12-2020,8,SID768
G1787,Bread,Backs,684,23-10-2020,,40,SID711
G3834,Bread,Decaf 1 Cup,930,27-09-2020,,48,SID378
G8567,Bread,Apricot,1541,07-10-2020,29-11-2020,68,SID972
G5413,Bread,Ristretto Coffee Capsule,446,07-10-2020,28-12-2020,52,SID118
G8067,Bread,Fresh,1555,09-09-2020,11-11-2020,7,SID357
G8455,Broom," Atlantic, Fresh, Whole",264,11-10-2020,28-12-2020,63,SID394
G8417,Butter,Cippolini,902,21-09-2020,07-12-2020,95,SID830
G9062,Cabbage Roll," Lasagna, Dry",1127,14-10-2020,,80,SID991
G7990,Cake,Brie,998,06-09-2020,07-11-2020,81,SID978
G5313,Calvados,Shell On,1701,,,23,SID892
G3122,Calypso,Gouda Smoked,303,07-09-2020,07-12-2020,58,SID956
G7359,Calypso,Slab Bacon,742,02-10-2020,05-11-2020,54,SID057
G0873,Capicola,Blue Curacao,170,25-09-2020,,36,SID597
G8011,Capon,Campbells Turkey Veg.,1187,17-09-2020,13-11-2020,97,SID968
G6153,Cauliflower," Sprinkles, Assorted",690,17-10-2020,28-12-2020,30,SID544
G0654,Celery Root,Antinore Orvieto,748,18-10-2020,04-12-2020,64,SID755
G9027,Cheese,Rosso Del Veronese Igt,1771,28-09-2020,,95,SID777
G3912,Cheese,Frothy French Vanilla,1169,02-10-2020,09-11-2020,42,SID343
G4979,Cheese,Fettuccine,130,04-10-2020,26-12-2020,17,SID443
G4990,Cheese,Ruby Red,1516,12-10-2020,,50,SID293
G0344,Cheese,Oyster,851,,,72,SID283
G9919,Cheese,Sushi,1805,,27-11-2020,91,SID134
G9043,Cheese,Chocolate Marble Tea,681,,,71,SID266
G5254,Cheese,Spanish,793,11-10-2020,21-11-2020,54,SID643
G7371,Cheese,Chorizo,714,28-09-2020,,5,SID333
G4249,Cheese,Pancake,1826,24-10-2020,,41,SID290
G4438,Cheese,0090 Clear,24,,,69,SID453
G9616,Cheese,Cleaned,1092,14-10-2020,29-12-2020,39,SID389
G7644,Cheese,White,1516,21-09-2020,27-12-2020,56,SID722
G2618,Chicken,Frozen Basket Variety,1686,16-09-2020,05-11-2020,61,SID768
G6861,Chicken,Striploin,527,13-10-2020,29-12-2020,24,SID301
G7459,Chips,Kidney White,788,24-09-2020,30-12-2020,64,SID036
G9836,Chips Potato All Dressed,Raisin,665,,19-12-2020,92,SID769
G4200,Chocolate,Tangerine,1631,15-10-2020,07-12-2020,30,SID769
G6744,Cilantro / Coriander,Breakfast,1472,,,81,SID516
G0969,Cinnamon Buns Sticky,Granny Smith,711,26-09-2020,23-12-2020,55,SID930
G6790,Cleaner,Pineapple Passion,826,19-09-2020,15-12-2020,65,SID459
G6266,Cloves,Almond,1273,,14-12-2020,25,SID604
G0502,Coconut,Vouvray Cuvee Domaine,1632,06-09-2020,26-12-2020,92,SID711
G6328,Coffee,Rotini,452,13-10-2020,15-11-2020,17,SID165
G3229,Coffee,Kimel Stick Poly,183,26-09-2020,,12,SID343
G0703,Coffee,Diet,1007,11-09-2020,28-12-2020,68,SID313
G1178,Coffee,Dry,273,14-10-2020,21-12-2020,52,SID466
G8508,Coffee,Sweet,333,26-09-2020,,63,SID682
G7557,Compound,Sweet,1161,,10-11-2020,27,SID414
G6902,Compound,Condensed,97,25-09-2020,06-11-2020,84,SID696
G2433,Container,Frozen Fillet,1788,,24-11-2020,19,SID476
G7216,Cookie,Ravioli,868,02-10-2020,10-11-2020,31,SID107
G4890,Cookie,Carmenere Casillero Del,1857,24-09-2020,25-11-2020,35,SID155
G0819,Cookie,Jerusalem,1514,,06-12-2020,63,SID209
G4208,Cookie Choc,Filling,1776,21-09-2020,27-12-2020,32,SID735
G1205,Cookie Chocolate Chip With,Lemon Cranberry,1436,09-10-2020,,66,SID008
G7029,Cookies,10oz Cup 92961,1658,21-09-2020,28-12-2020,31,SID070
G0347,Cookies,Taleggio D.o.p.,1016,24-10-2020,22-11-2020,97,SID930
G0346,Cookies,Almond Hazelnut,1527,12-09-2020,,33,SID476
G9452,Cookies,Cereal Nut,141,19-09-2020,05-11-2020,97,SID259
G5589,Cookies Almond Hazelnut,Chocolate Chip,324,01-09-2020,,47,SID093
G9147,Cookies Cereal Nut,Wieners,1748,30-10-2020,09-12-2020,80,SID913
G3571,Coriander,Mini Red,1309,,05-12-2020,93,SID370
G7644,Corn,Cream Soda,399,20-10-2020,15-11-2020,49,SID658
G1836,Cotton Wet Mop 16 Oz,Baby,1841,,,18,SID535
G6382,Crab," Green, Chili",720,27-10-2020,26-11-2020,21,SID954
G6478,Crackers,Strawberry Lemonade,552,03-09-2020,21-11-2020,76,SID474
G5890,Cranberries,13 Inch,1622,12-09-2020,23-12-2020,34,SID964
G3675,Crush,Eye Of Round,707,18-09-2020,02-12-2020,70,SID168
G0584,Crush,Spumante Bambino White,582,18-10-2020,01-11-2020,27,SID867
G7383,Doilies,Golden,200,09-10-2020,,19,SID143
G1672,Doilies,Masa De Harina Mexican,717,,22-11-2020,13,SID597
G5196,Duck," Vine Ripe, Yellow",1831,03-09-2020,01-11-2020,5,SID786
G7037,Duck,spice,184,02-09-2020,,27,SID565
G3578,Ecolab,Magnotta,54,15-10-2020,09-12-2020,67,SID474
G2653,Edible Flower," Oyster, Fresh",351,03-09-2020,,91,SID289
G9630,Eggplant,Mcguinness,1048,05-09-2020,28-11-2020,72,SID456
G7967,Eggplant,Breast,185,25-10-2020,20-11-2020,12,SID777
G6862,Energy Drink,Energy Chocchip,89,,05-12-2020,8,SID456
G5519,Energy Drink,Cranberry Foccacia,1375,17-10-2020,,42,SID352
G6655,Bread,English Muffin,975,15-10-2020,21-11-2020,4,SID765
G8684,Extract," Sweet, 4",886,08-10-2020,,97,SID222
G6323,Extract,Strawberry,480,25-09-2020,06-11-2020,18,SID330
G8297,Fennel,Alfredo,1049,05-10-2020,,70,SID361
G2070,Fib N9," Spring Roll, Veg",742,15-09-2020,11-12-2020,94,SID599
G7146,Flour,,484,22-10-2020,,85,SID055
G1039,Fondant,Salted,484,11-09-2020,,15,SID116
G4087,Fudge," Black Bean, Preserved",1260,08-10-2020,,96,SID821
G6475,Garbage Bags,Short Ribs,1154,24-09-2020,,84,SID203
G3567,Garbage Bags,,1234,28-09-2020,09-11-2020,82,SID538
G9876,Garlic," Bran, Red",1843,05-10-2020,,77,SID459
G5522,Garlic,Canned,1333,07-10-2020,24-12-2020,81,SID493
G9986,Garlic Powder," Black Cherry, 591 Ml",1668,20-10-2020,30-11-2020,52,SID034
G5003,Gatorade,Club Soda Can,1861,21-09-2020,,41,SID335
G1208,Gingerale," Inside, Choice",1586,20-09-2020,07-11-2020,57,SID269
G0262,Guinea Fowl,Tenderloin,1844,08-10-2020,16-12-2020,15,SID453
G2176,Ham," Pine Nuts, Whole",88,24-10-2020,12-12-2020,42,SID858
G2089,Ice Cream Bar," Apple, 500 Ml",301,16-10-2020,23-11-2020,13,SID329
G8126,Island Oasis,Raspberry,1914,14-09-2020,,68,SID976
G3226,Jam,Frthy Coffee Crisp,1006,04-10-2020,,38,SID415
G0422,Juice," Romano, Grated",538,07-09-2020,20-12-2020,100,SID783
G1912,Juice,Fresh,989,02-10-2020,24-11-2020,6,SID818
G1127,Juice,Peach Nectar,667,,21-11-2020,94,SID516
G2111,Kahlua," Cannelloni, Sheets, Fresh",1725,30-09-2020,25-12-2020,89,SID370
G3483,Kirsch," Grape, 355 Ml",463,20-10-2020,14-12-2020,8,SID953
G4906,Kolrabi,Original Organic Lager,1920,03-10-2020,18-12-2020,99,SID311
G4746,Lamb,Blackcurrant,439,,,94,SID427
G9286,Lamb,Fry,417,17-10-2020,27-11-2020,55,SID934
G1649,Lamb,Jafflin Bourgongone,1935,21-10-2020,29-12-2020,59,SID215
G8152,Lamb,Burritos,139,07-10-2020,,28,SID370
G8033,Lamb,Shortening,1870,11-10-2020,04-11-2020,43,SID728
G1938,Latex Rubber Gloves Size 9,Shank,1435,01-10-2020,,92,SID008
G5266,Leeks," Oreo, 4 Pack",1375,07-09-2020,05-12-2020,6,SID283
G8429,Lemon Tarts," Leg, Bone In",915,23-09-2020,28-11-2020,36,SID777
G2711,Lettuce," White, Riesling, Henry Of",1465,24-10-2020,26-12-2020,60,SID010
G5661,Lettuce," Romaine, Heart",1608,23-10-2020,,7,SID151
G5625,Lid,Sheet Strawberry,1046,11-10-2020,23-12-2020,84,SID705
G0915,Lid Tray," Breast, Wing On",1634,,14-11-2020,66,SID762
G9281,Lime Cordial,Flat Bread,1977,,,83,SID809
G6420,Lobak,Niagara Peninsula Vqa,832,16-09-2020,22-12-2020,79,SID705
G1505,Lobster,Rum,1947,06-09-2020,14-11-2020,43,SID068
G9844,Longos,Victor Et Berthold,1655,26-09-2020,06-12-2020,77,SID484
G2560,Mace,Franks Pineapple,255,18-09-2020,19-11-2020,52,SID939
G1203,Magnotta Bel Paese Red,Upper Canada Light,1298,,,51,SID085
G5177,Mcguinness," 5, Paper",972,24-10-2020,21-12-2020,58,SID085
G5834,Milk,Veal,1612,18-10-2020,10-11-2020,9,SID901
G8881,Milk,Brown,1454,11-10-2020,,1,SID981
G3807,Mince Meat,Organic,1382,19-09-2020,15-11-2020,99,SID491
G4162,Mint,Raisin Bran,730,05-09-2020,,100,SID946
G5716,Mix Pina Colada,Smoked Kassler,578,23-09-2020,,49,SID275
G5053,Muffin," Beans, Whole",1150,04-10-2020,07-11-2020,27,SID609
G3615,Muffin Mix,White Wine,400,10-09-2020,24-12-2020,45,SID954
G1162,Muffin Mix,Mix,59,11-09-2020,13-12-2020,89,SID395
G4194,Muffin Mix,Merlot,458,10-09-2020,,4,SID338
G3653,Muffin Mix,Mill St Organic,1402,09-10-2020,08-12-2020,83,SID338
G3411,Muffin Puck Ww Carrot,Breaded,1970,15-09-2020,14-11-2020,34,SID783
G3895,Mushroom,Whole,113,28-10-2020,01-12-2020,42,SID560
G5883,Mushroom,Dark Rye,1114,13-09-2020,28-11-2020,19,SID616
G4563,Mushroom,Frozen,1744,23-09-2020,11-11-2020,39,SID338
G1304,Napkin," Cellophane, Thin",1314,03-10-2020,03-11-2020,4,SID597
G0907,Napkin,Schloss,1822,17-09-2020,,49,SID643
G2761,Nescafe,Pablano,1167,14-09-2020,30-11-2020,46,SID708
G1458,Noodles,Golden,379,09-10-2020,06-12-2020,89,SID610
G2727,Nut,Mince Meat,1808,17-10-2020,,25,SID755
G6253,Nut,Orange,77,08-10-2020,,97,SID325
G9014,Ocean Spray,Legs,1498,11-09-2020,,57,SID415
G0569,Octopus," Foam, Square 4 ",1247,07-09-2020,28-11-2020,3,SID651
G5810,Oil,Fortune,820,17-09-2020,16-11-2020,72,SID362
G3964,Oil," Ham, Virginia",214,25-09-2020,23-12-2020,99,SID466
G8511,Oil,Carrot,1311,23-09-2020,26-11-2020,93,SID818
G7020,Olives,Barossa Valley Estate,1433,02-10-2020,,40,SID964
G4540,Onion Powder,Jasmine Sented,1327,,28-11-2020,50,SID442
G1703,Onions," Whole, Frozen",174,19-10-2020,10-12-2020,80,SID056
G9273,Onions,Goodhearth,1622,30-10-2020,24-12-2020,42,SID966
G4036,Oregano,Angled,52,03-09-2020,07-11-2020,75,SID643
G9312,Oven Mitt," Pina Colada, 355 Ml",1358,18-10-2020,11-11-2020,17,SID010
G8545,Pail,Peeled,1161,02-10-2020,,29,SID556
G0595,Pants Custom Dry Clean,Sweet And Salty Chocolate,749,11-10-2020,26-12-2020,63,SID913
G8450,Pasta," Cream, Canned",1004,18-09-2020,28-11-2020,11,SID981
G0076,Pasta,Black,382,15-09-2020,,85,SID806
G9114,Pasta,Monin,1309,,20-11-2020,56,SID370
G7001,Pasta," 15l White, With Handle",341,05-09-2020,14-11-2020,19,SID705
G5411,Pasta,Maudite,21,12-09-2020,,99,SID340
G5202,Pastry,Evian 355 Ml,1450,03-09-2020,27-11-2020,71,SID639
G0804,Pastry,Petit Baguette,1699,19-09-2020,07-12-2020,37,SID269
G2850,Pastry,Mushroom Tart,942,03-10-2020,20-11-2020,30,SID852
G7749,Pepper," Cocktail,beige 2 ",392,25-09-2020,06-12-2020,53,SID024
G0562,Pepper,Ranch Dressing,1705,07-09-2020,20-12-2020,24,SID401
G7992,Pepper,Comte,1789,22-10-2020,,85,SID711
G5209,Pernod," Tongue, Cooked",781,09-09-2020,04-11-2020,62,SID203
G7939,Pike,Butternut,907,01-09-2020,17-11-2020,13,SID931
G2519,Pineapple,Montreal Smoked Brisket,1641,15-09-2020,,81,SID607
G0344,Placemat,Prague Powder,1162,04-10-2020,,64,SID003
G6616,Pop,Rum,1809,12-09-2020,01-12-2020,2,SID260
G5515,Pork,Striploin,1617,25-09-2020,25-12-2020,16,SID422
G0625,Pork,Ground,343,21-10-2020,,56,SID952
G8033,Pork,Filets,1379,21-10-2020,27-12-2020,91,SID133
G2913,Pork,Melba Toast,1908,08-09-2020,11-12-2020,23,SID799
G9571,Pork,Mexican,1737,29-10-2020,22-12-2020,12,SID144
G0633,Pork Loin Cutlets,Wheat Baguette,785,16-10-2020,21-12-2020,45,SID565
G9354,Potato,Chocolate Fudge,481,11-09-2020,,31,SID429
G9304,Potatoes,Bones,1996,21-09-2020,22-12-2020,9,SID290
G3785,Potatoes,Smoked Back Bacon,1021,29-09-2020,09-11-2020,76,SID721
G0537,Potatoes,Marrow,581,,08-12-2020,23,SID442
G9876,Pur Source,Cinn / Brown Sugar,61,15-10-2020,16-11-2020,97,SID779
G9894,Puree,Chafing Dish Fuel,1444,05-09-2020,26-12-2020,46,SID989
G4776,Puree,Blueberry,474,02-09-2020,,34,SID727
G7773,Puree,Blueberry Passion,1706,19-09-2020,22-11-2020,74,SID769
G5347,Quail Eggs," Loin, Center Cut",1645,26-09-2020,,42,SID104
G4404,Rice,Cake,730,08-10-2020,,10,SID614
G0683,Rice,Hot,720,,17-12-2020,70,SID839
G6855,Rice Wine,Fruli,1920,,,50,SID696
G2529,Roe,Fillet,558,30-09-2020,19-11-2020,98,SID609
G8803,Salmon,Knorr,1919,23-10-2020,18-11-2020,40,SID185
G6946,Sauce,French Onion,1778,12-09-2020,26-11-2020,11,SID328
G9480,Sauce,Hoisin,1327,01-10-2020,23-12-2020,66,SID378
G6210,Sauce,Bone,447,12-09-2020,,10,SID144
G8647,Sauce,White Fish,565,27-10-2020,06-12-2020,26,SID972
G0461,Sauce,Breast,976,29-10-2020,,14,SID232
G6426,Sauce,Banana Daiquiri,1842,05-10-2020,01-12-2020,67,SID998
G1625,Sauce,Crab And Brie,419,19-10-2020,03-11-2020,23,SID777
G0462,Sauce Bbq Smokey,Mini French Pastries,1448,,17-11-2020,47,SID534
G8114,Sausage," White, French Cross",1959,,08-12-2020,77,SID688
G9016,Sausage,Comet,1583,26-09-2020,,71,SID329
G7989,Sesame Seed,Olive Bertolli,1674,17-10-2020,10-12-2020,62,SID029
G0198,Sloe Gin,Iceberg,756,25-09-2020,24-12-2020,40,SID982
G4853,Soup,Finger Cots,1159,23-10-2020,01-12-2020,45,SID769
G3461,Soup," Tomato, 48 Oz",654,15-10-2020,,12,SID130
G2650,Soup,Liqueur Cups With Foil,,,,14,SID576
G5748,Soup,White Epi Baguette,559,25-10-2020,,59,SID734
G1277,Soup,Semi Dry Riesling Vineland,309,21-09-2020,,19,SID135
G9989,Soup," Campbells, Spinach Crm",890,25-09-2020,,25,SID996
G6258,Soup,Roses,730,28-09-2020,,100,SID034
G8104,Soup Campbells,Miss Vickies,121,13-09-2020,09-12-2020,36,SID477
G8759,Sour Puss,Iqf,1213,09-10-2020,20-12-2020,20,SID155
G2143,Spice,Hock And Feet Attached,1519,14-10-2020,09-11-2020,86,SID852
G3505,Spice," Back Fin Meat, Canned",1681,27-10-2020,,58,SID556
G7418,Sprouts," Baby, Boiled",1431,,24-11-2020,7,SID196
G6519,Squash,Hp,1229,11-09-2020,20-12-2020,57,SID776
G6734,Squeeze Bottle,Boulard,1864,09-10-2020,28-12-2020,24,SID781
G4576,Squid," Almond, Blanched, Sliced",1062,20-09-2020,30-11-2020,13,SID520
G3501,Squid," Brisket, Provimi,bnls",243,22-10-2020,22-12-2020,35,SID569
G7262,Sterno,Onion,1503,15-10-2020,17-11-2020,64,SID232
G4885,Stock,Spartan,168,04-10-2020,,100,SID506
G2205,Syrup,Hand Soap Form Antibac,1044,30-10-2020,24-12-2020,16,SID133
G3385,Syrup,Dough Variety,759,13-09-2020,30-12-2020,50,SID401
G3143,Taro Leaves,Goat,,,,15,SID989
G0280,Tart Shells,Clear,388,03-10-2020,05-12-2020,75,SID036
G9799,Tart Shells," Dinner, White",765,11-10-2020,02-11-2020,50,SID191
G1892,Tart Shells," Purple, Organic",,,,71,SID260
G5130,Tea,Paste,316,03-10-2020,25-12-2020,37,SID361
G6624,Tea," Red, Metus Rose",553,15-09-2020,02-12-2020,19,SID036
G2975,Tea,Double Choco,1268,18-10-2020,,54,SID937
G7612,Temperature Recording Station,Loin Chops,128,03-10-2020,,97,SID769
G3390,Tomatoes,Whole,1552,18-10-2020,08-11-2020,29,SID934
G8125,Tortillas,Asian,585,,27-11-2020,30,SID704
G7345,Towels," Chillies, Crushed",825,22-09-2020,,42,SID916
G4703,Tray,Drumstick,802,25-09-2020,19-12-2020,78,SID892
G4750,Tumeric,Zinfandel California 2002,1214,23-09-2020,,48,SID868
G0678,Turkey,Wyndham Estate Bin 777,1841,02-09-2020,17-11-2020,66,SID118
G8024,Turnip,Icing,780,22-09-2020,,15,SID614
G3933,Turnip,Herbal,1162,01-10-2020,30-12-2020,26,SID230
G7333,Veal,Soya Bean,1810,22-09-2020,,52,SID476
G5434,Veal," Base, Bouillion",1425,14-09-2020,,1,SID504
G1572,Veal,Top Butt,671,28-10-2020,09-11-2020,2,SID292
G5077,Veal,12in Dome,1711,21-10-2020,,95,SID806
G0312,Veal," Smoked, Bone ",331,16-09-2020,03-11-2020,43,SID146
G9909,Veal,Rosee,46,18-10-2020,08-11-2020,78,SID727
G4089,Veal,Paper / Kraft,431,24-09-2020,,81,SID423
G9562,Venison," Chestnuts, Whole",1336,14-10-2020,08-11-2020,11,SID949
G1712,Vermacelli,Regular,1161,20-09-2020,08-11-2020,21,SID597
G5968,Vinegar," Scallop, White",1126,25-09-2020,03-12-2020,42,SID033
G2071,Vinegar,Vanilla,589,16-09-2020,07-12-2020,78,SID655
G7524,Vol Au Vents,Swiss Choc Almond,1053,25-10-2020,22-12-2020,64,SID236
G4890,Wasabi,Cheese Baked Scones,299,10-09-2020,14-11-2020,38,SID056
G8391,Wasabi Powder,Muskoka Cream Ale,857,30-10-2020,17-11-2020,72,SID431
G1951,Water,La Vielle Ferme Cote Du,134,,,62,SID535
G0443,White Fish,Mango Chevre,1594,13-09-2020,16-12-2020,85,SID422
G4520,Wine,Gato,1800,,21-12-2020,28,SID830
G0118,Wine,Jamaican,117,04-10-2020,12-11-2020,97,SID164
G7681,Wine,Provimi,1922,28-09-2020,12-11-2020,7,SID538
G4789,Wine,Vintage,1383,26-10-2020,,93,SID405
G5568,Wine,Stuffed,1270,23-09-2020,06-12-2020,64,SID065
G7438,Wine,Thai,231,09-09-2020,,41,SID609
G4041,Wine,Beef,175,29-10-2020,08-12-2020,77,SID445
G5723,Wine," 10, Paper",1946,29-10-2020,05-12-2020,23,SID029
G4147,Wine,White,75,05-09-2020,,62,SID196
G0979,Wine,French Stick,1120,19-10-2020,,85,SID151
G4449,Wine,Tamarind Paste,1546,16-10-2020,10-12-2020,75,SID352
G5029,Wine,Pepper Portions,1099,14-09-2020,19-12-2020,48,SID417
G7511,Wine,Mini,,,,62,SID014
G6048,Wine,Seeds,885,16-10-2020,,27,SID261
G4605,Wine,Dry,941,22-10-2020,07-12-2020,58,SID418
G8522,Wine,Unsliced,1289,15-09-2020,24-11-2020,80,SID443
G4722,Wine,Conomme,,,,41,SID575
G1525,Wine,Whole,1145,22-10-2020,05-12-2020,46,SID781
G5207,Zucchini,Mas Chicet Rose,,,,31,SID055
G0203,Flavouring,Mixed,876,10-10-2020,21-12-2020,95,SID981
G3851,Flour,Italian Wedding,372,29-09-2020,,42,SID290
G0725,Flour,Cheddar With Claret,1561,16-10-2020,13-11-2020,39,SID522
G2095,Mackerel Whole Fresh," Savory, 4",1376,03-10-2020,09-12-2020,84,SID005
G8593,Muffin Batt,Chardonnay,1212,06-09-2020,03-11-2020,55,SID443
